gene_id	uniprot_accession	Gene.Ontology.IDs
g18797	NA	NA
g18792	Q5JR59	GO:0005634; GO:0005737; GO:0005874; GO:0008017; GO:0015630; GO:0042803; GO:0045171
g19942	O89019	GO:0001822; GO:0005516; GO:0005576; GO:0005634; GO:0005819; GO:0005874; GO:0009791; GO:0016020; GO:0016055; GO:0031016; GO:0048471; GO:0048513; GO:0060287; GO:0060971; GO:0090090; GO:0097543; GO:0097546; GO:1904108
g21560	Q58CN9	GO:0000139; GO:0001659; GO:0005635; GO:0005654; GO:0005737; GO:0005769; GO:0005794; GO:0008270; GO:0009395; GO:0031901; GO:0043227; GO:0048874; GO:0050729; GO:0070290; GO:0070291; GO:0070292; GO:0090336
g21566	Q9PSX7	GO:0000281; GO:0003924; GO:0005525; GO:0005829; GO:0005886; GO:0007015; GO:0007165; GO:0007264; GO:0019901; GO:0032154; GO:0032956; GO:0043297; GO:0044319; GO:1902766
g21569	Q6NW85	GO:0000151; GO:0000209; GO:0004842; GO:0005634; GO:0005737; GO:0006511; GO:0008270; GO:0016567; GO:0031624; GO:0061630
g21568	NA	NA
g11369	NA	NA
g11365	Q8BV79	
g11366	NA	NA
g11367	NA	NA
g8065	Q47GC1	GO:0005737; GO:0018771; GO:0019380; GO:0042803; GO:0052823
g8060	Q6UY01	
g23973	Q5R5W2	GO:0003677; GO:0003723; GO:0005694; GO:0005730; GO:0005739; GO:0006397; GO:0008380; GO:0010468; GO:0016607; GO:0031647; GO:0042752
g10093	NA	NA
g10094	P79701	GO:0001525; GO:0005021; GO:0005524; GO:0005634; GO:0005737; GO:0005886; GO:0030154; GO:0038084; GO:0042803; GO:0046777
g10543	Q9W770	GO:0005576; GO:0007155; GO:0031012; GO:0046872
g10542	Q5ZMA6	GO:0003952; GO:0004359; GO:0005524; GO:0005737; GO:0009435; GO:0034627
g10545	Q9HCB6	GO:0005201; GO:0005615; GO:0005788; GO:0007155; GO:0010954; GO:0016485; GO:0031012; GO:0046872; GO:0050693; GO:1902430; GO:1902993
g10544	NA	NA
g1810	Q6INU7	GO:0016020; GO:0016491; GO:0046872
g1811	Q9P0K9	GO:0005886; GO:0044877; GO:0045202; GO:0045505; GO:0051966; GO:0099072; GO:1900449; GO:1904717
g20318	NA	NA
g20311	Q62656	GO:0002244; GO:0004725; GO:0005178; GO:0005615; GO:0005886; GO:0007409; GO:0007413; GO:0007611; GO:0008285; GO:0008542; GO:0010812; GO:0010976; GO:0016791; GO:0017134; GO:0021766; GO:0030027; GO:0030175; GO:0030335; GO:0030424; GO:0030425; GO:0030426; GO:0031012; GO:0031641; GO:0032587; GO:0035335; GO:0043025; GO:0043197; GO:0043524; GO:0045202; GO:0045211; GO:0048146; GO:0048666; GO:0048709; GO:0048714; GO:0048814; GO:0050731; GO:0070445; GO:0072534; GO:0098839; GO:0098978; GO:1900006; GO:1900149; GO:2000171; GO:2001224
g20310	P35832	GO:0004725; GO:0005001; GO:0005886; GO:0007414; GO:0007415; GO:0008045; GO:0030424
g20313	Q8HYL8	GO:0003997; GO:0005504; GO:0005777; GO:0006091; GO:0006629; GO:0006693; GO:0009062; GO:0016401; GO:0019395; GO:0042803; GO:0050665; GO:0055088; GO:0071949; GO:0140493
g17010	Q14344	GO:0001569; GO:0001701; GO:0003924; GO:0003925; GO:0005085; GO:0005525; GO:0005634; GO:0005737; GO:0005829; GO:0005834; GO:0005886; GO:0005925; GO:0007165; GO:0007186; GO:0007188; GO:0007189; GO:0007204; GO:0007266; GO:0008217; GO:0008360; GO:0010762; GO:0016020; GO:0030154; GO:0030168; GO:0031526; GO:0031683; GO:0031752; GO:0042470; GO:0046872; GO:0051056; GO:0070062; GO:1904706; GO:1904753
g17015	Q5ZL55	GO:0000815; GO:0005771; GO:0006900; GO:0015031; GO:0031902; GO:0032511
g17017	Q92186	GO:0000139; GO:0000166; GO:0001574; GO:0003828; GO:0005576; GO:0005769; GO:0005794; GO:0005886; GO:0005975; GO:0006486; GO:0006491; GO:0007399; GO:0009311; GO:0033691; GO:0036211; GO:0042220; GO:0043525; GO:0048471; GO:0051965; GO:0055037; GO:0097503; GO:1990138
g17019	A3KN95	GO:0016020
g2398	A0JNH6	GO:0016459
g14614	Q9HAB8	GO:0003015; GO:0004632; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006085; GO:0015937; GO:0042802; GO:0042803
g16653	Q6P7A9	GO:0002026; GO:0002086; GO:0003007; GO:0004558; GO:0005764; GO:0005765; GO:0005977; GO:0005980; GO:0006941; GO:0007040; GO:0007626; GO:0009888; GO:0016020; GO:0030246; GO:0032450; GO:0035904; GO:0043181; GO:0046716; GO:0050884; GO:0050885; GO:0060048; GO:0061723; GO:0090599; GO:0120282
g16655	Q501J6	GO:0000380; GO:0000381; GO:0001837; GO:0002376; GO:0003724; GO:0003730; GO:0005524; GO:0005634; GO:0005730; GO:0005737; GO:0005829; GO:0006357; GO:0006364; GO:0010467; GO:0010586; GO:0016887; GO:0030520; GO:0030521; GO:0031047; GO:0031490; GO:0043021; GO:0045445; GO:0051607; GO:0061614; GO:0106222; GO:1990904; GO:2001014
g21044	NA	NA
g21045	Q8IUX8	GO:0005178; GO:0005509; GO:0005604; GO:0005615; GO:0007155; GO:0010811; GO:0016020; GO:0030154; GO:0030198
g21042	Q9GLY5	GO:0004867; GO:0005576; GO:0030212
g21043	Q9GLY5	GO:0004867; GO:0005576; GO:0030212
g4949	Q3SZE9	GO:0003924; GO:0005737; GO:0005829; GO:0006457; GO:0007021; GO:0007023; GO:0015631; GO:0032391
g4943	P47990	GO:0004854; GO:0004855; GO:0005506; GO:0005615; GO:0005777; GO:0005829; GO:0009115; GO:0030151; GO:0034418; GO:0043546; GO:0050660; GO:0051537; GO:0070674; GO:0071949
g7768	P78524	GO:0005085; GO:0005886; GO:0005938; GO:0055037; GO:0070374
g7769	Q01134	GO:0004103; GO:0004104; GO:0004305; GO:0004713; GO:0005524; GO:0005737; GO:0005811; GO:0005829; GO:0006580; GO:0006646; GO:0006656; GO:0006657; GO:0009636; GO:0019695; GO:0033265; GO:0042149; GO:0042802; GO:0042803; GO:1904681; GO:1905691
g4495	Q01262	GO:0005829; GO:0006749; GO:0008652; GO:0016810; GO:0017168
g4494	Q9CR40	
g4496	A7UKY7	GO:0000122; GO:0000978; GO:0003309; GO:0003310; GO:0003700; GO:0005634; GO:0007399; GO:0017053; GO:0031018; GO:0031490; GO:0035987; GO:0046872; GO:0048732; GO:0060290
g15303	Q9Y5Q5	GO:0003050; GO:0004175; GO:0004252; GO:0005576; GO:0005886; GO:0007565; GO:0008217; GO:0009986; GO:0015629; GO:0016486; GO:0016604; GO:0035813; GO:1903779
g14653	Q96PH1	GO:0001525; GO:0001819; GO:0001935; GO:0005509; GO:0005783; GO:0005789; GO:0005886; GO:0006915; GO:0006952; GO:0015252; GO:0016175; GO:0020037; GO:0042554; GO:0043012; GO:0043020; GO:0050660; GO:0050661; GO:0061640; GO:0106292; GO:1902600; GO:2000379
g10932	NA	NA
g10933	Q80XC3	GO:0005096; GO:0005794; GO:0005886; GO:0007030; GO:0019068; GO:0031267; GO:0031410; GO:0035526; GO:0048227; GO:1903358
g10934	Q16611	GO:0001782; GO:0001783; GO:0001836; GO:0001974; GO:0002262; GO:0002352; GO:0005739; GO:0005741; GO:0005783; GO:0005829; GO:0006915; GO:0008053; GO:0008285; GO:0008630; GO:0009410; GO:0009620; GO:0010046; GO:0010225; GO:0010248; GO:0010332; GO:0010524; GO:0010629; GO:0014070; GO:0015288; GO:0031018; GO:0031072; GO:0031100; GO:0031334; GO:0032469; GO:0032471; GO:0033137; GO:0034620; GO:0034644; GO:0035108; GO:0042542; GO:0042802; GO:0042803; GO:0043065; GO:0044325; GO:0044346; GO:0044877; GO:0045471; GO:0045862; GO:0046872; GO:0046902; GO:0046930; GO:0046982; GO:0048597; GO:0050673; GO:0051087; GO:0051400; GO:0051649; GO:0051726; GO:0051881; GO:0060068; GO:0060402; GO:0070059; GO:0070242; GO:0071260; GO:0090200; GO:0090201; GO:0097136; GO:0097145; GO:0097190; GO:0097192; GO:0097193; GO:0097202; GO:1900103; GO:1901029; GO:1901030; GO:1902262; GO:1903896
g4235	Q5RBP4	GO:0005509; GO:0005524; GO:0005525; GO:0005886; GO:0006886; GO:0006897; GO:0010008; GO:0020018; GO:0031175; GO:0031901; GO:0032456; GO:0055038; GO:0060271; GO:0061512; GO:1901741; GO:1990090; GO:2001137
g4233	P48601	GO:0005524; GO:0005654; GO:0005829; GO:0005838; GO:0008540; GO:0016887; GO:0036402; GO:0043161
g4238	Q9VBW3	GO:0004713; GO:0004714; GO:0005509; GO:0005524; GO:0005886; GO:0006468; GO:0007030; GO:0007156; GO:0016339; GO:0042060; GO:0043235; GO:0045177; GO:0045792; GO:0051897; GO:0090303
g5728	NA	NA
g6402	Q5F4B8	GO:0005765; GO:0015293; GO:0022857; GO:0034486
g6406	Q96DM1	
g6407	NA	NA
g6408	NA	NA
g6409	NA	NA
g15885	P19813	GO:0004555; GO:0005886; GO:0005993; GO:0016020; GO:0098552
g15884	NA	NA
g15883	NA	NA
g15882	Q9C040	GO:0000209; GO:0004842; GO:0005737; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0043523; GO:0061630
g22805	Q5DU00	GO:0001764; GO:0005737; GO:0005815; GO:0005874; GO:0005929; GO:0005930; GO:0007605; GO:0008542; GO:0019228; GO:0019894; GO:0030111; GO:0035249; GO:0035556; GO:0045202; GO:0048813; GO:0060091; GO:0060271; GO:1902017
g15085	Q9UIF8	GO:0000785; GO:0003677; GO:0005634; GO:0006338; GO:0006357; GO:0046872
g15084	Q9DE13	GO:0000785; GO:0003677; GO:0005634; GO:0046872
g23176	Q9NX57	GO:0003924; GO:0005525; GO:0005794; GO:0006886; GO:0012505; GO:0030670; GO:0043231; GO:0045335; GO:0071346; GO:0090383; GO:0090385
g23171	Q9QYP1	GO:0001822; GO:0001932; GO:0001942; GO:0005509; GO:0005886; GO:0006897; GO:0007167; GO:0008104; GO:0009953; GO:0009954; GO:0009986; GO:0014069; GO:0015026; GO:0016055; GO:0030279; GO:0030326; GO:0030425; GO:0030971; GO:0031594; GO:0034185; GO:0035022; GO:0042475; GO:0042733; GO:0042803; GO:0043025; GO:0043113; GO:0044853; GO:0045202; GO:0048699; GO:0048813; GO:0050731; GO:0050771; GO:0050808; GO:0051124; GO:0060173; GO:0071340; GO:0090090; GO:0097060; GO:0097104; GO:0097105; GO:0097110; GO:0150052; GO:0150094; GO:1901631; GO:1904395
g21245	Q53B90	GO:0000045; GO:0003924; GO:0005525; GO:0005794; GO:0006886; GO:0007030; GO:0012505; GO:0019068; GO:0030670; GO:0035526; GO:0045335; GO:0071346; GO:0090382
g23173	Q9Z1N0	GO:0000038; GO:0003997; GO:0005504; GO:0005777; GO:0006091; GO:0006629; GO:0006693; GO:0016401; GO:0019395; GO:0033540; GO:0055088; GO:0071949
g9090	Q6DG36	GO:0000139; GO:0005385; GO:0005789; GO:0005794; GO:0006506; GO:0006829; GO:0006882; GO:0010043; GO:0012507; GO:0030667; GO:0031410; GO:0032588; GO:0046872; GO:0062111; GO:0140826; GO:1904257; GO:1990674
g19094	P61460	GO:0005096; GO:0005765; GO:0005829; GO:0010508; GO:0031267; GO:0031463; GO:0034198; GO:0035556; GO:0044877; GO:0048471; GO:1904262; GO:1990130
g9094	NA	NA
g19327	Q3T0X9	GO:0000731; GO:0006261; GO:0043625; GO:0071897
g16519	Q13231	GO:0000272; GO:0004553; GO:0004568; GO:0005576; GO:0005615; GO:0005764; GO:0006032; GO:0006955; GO:0008061; GO:0008843; GO:0009617; GO:0035580; GO:0044245; GO:1904724
g18055	E1C3U7	GO:0000122; GO:0000785; GO:0001666; GO:0001837; GO:0001935; GO:0002040; GO:0004720; GO:0005507; GO:0005509; GO:0005604; GO:0005615; GO:0005634; GO:0005783; GO:0010718; GO:0016020; GO:0018057; GO:0030199; GO:0032332; GO:0043542; GO:0045892; GO:0062023; GO:0070828; GO:1902455
g18054	P79761	GO:0004497; GO:0005506; GO:0005789; GO:0006805; GO:0008392; GO:0019825; GO:0020037; GO:0036146; GO:0043231; GO:0046677; GO:0070330; GO:1990748
g23190	NA	NA
g23224	NA	NA
g23225	NA	NA
g23229	Q9DCT5	GO:0005576; GO:0005783; GO:0051085; GO:0051787; GO:0101031
g20554	A4IHS0	GO:0000049; GO:0005739; GO:0006397; GO:0032259; GO:0042645; GO:0052905; GO:0090646; GO:0097745; GO:0160106
g20553	NA	NA
g20552	NA	NA
g20880	P46058	GO:0002088; GO:0005212; GO:0007601
g9723	A6QLA0	GO:0000122; GO:0000977; GO:0000981; GO:0005634; GO:0008270; GO:0016740
g9729	Q8WZA2	GO:0002250; GO:0005085; GO:0005829; GO:0005886; GO:0007186; GO:0007189; GO:0007265; GO:0016020; GO:0017156; GO:0017157; GO:0030073; GO:0030552; GO:0030674; GO:0031267; GO:0032024; GO:0050796; GO:0098686; GO:0098693
g13821	Q7PCJ8	GO:0005737; GO:0008080
g13822	Q3T0Q0	GO:0004145; GO:0005829; GO:0006596; GO:0008080; GO:0009447; GO:0019809; GO:0032918
g21682	Q503W7	GO:0005524; GO:0005741; GO:0005778; GO:0009653; GO:0016887; GO:0045211; GO:0140567; GO:0140570
g21683	NA	NA
g3601	Q2KIA2	GO:0005654; GO:0018364; GO:0030488; GO:0031167; GO:0045815; GO:0046982; GO:0048471; GO:0070476; GO:2000234
g3603	NA	NA
g3602	NA	NA
g3604	P18847	GO:0000122; GO:0000785; GO:0000976; GO:0000977; GO:0000978; GO:0000981; GO:0001227; GO:0001228; GO:0003700; GO:0005634; GO:0005654; GO:0005730; GO:0006094; GO:0006357; GO:0008284; GO:0010628; GO:0030968; GO:0034198; GO:0034976; GO:0035914; GO:0042802; GO:0042803; GO:0045944; GO:0046982; GO:0070373; GO:0090575; GO:1903984; GO:1990622; GO:1990837
g22909	O54748	GO:0000287; GO:0001841; GO:0003157; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005813; GO:0006606; GO:0006915; GO:0007254; GO:0007417; GO:0008283; GO:0008285; GO:0008625; GO:0032991; GO:0035265; GO:0035329; GO:0035556; GO:0042802; GO:0043065; GO:0043408; GO:0043491; GO:0045600; GO:0046330; GO:0046621; GO:0050673; GO:0050680; GO:0050821; GO:0051262; GO:0051897; GO:0060070; GO:0060215; GO:0060706; GO:0060800; GO:0071539; GO:0090090; GO:0097284; GO:0106310; GO:1902043
g16090	Q24372	GO:0005886; GO:0005918; GO:0007156; GO:0007424; GO:0016331; GO:0019991; GO:0035151; GO:0035160; GO:0042803; GO:0043005; GO:0061343; GO:0098552
g5298	Q90Y54	GO:0001889; GO:0005112; GO:0005509; GO:0005886; GO:0007219; GO:0009953; GO:0016020; GO:0030878; GO:0031016; GO:0031017; GO:0031101; GO:0032474; GO:0035622; GO:0042472; GO:0048752; GO:0060117; GO:0060325; GO:0060351; GO:0060872; GO:1904888
g5299	Q08AY9	
g14355	Q7Z449	GO:0004497; GO:0005506; GO:0005737; GO:0005743; GO:0005789; GO:0006082; GO:0006805; GO:0008395; GO:0016712; GO:0020037; GO:0043231; GO:0052869; GO:0097267; GO:0102033; GO:1903604
g10668	Q14247	GO:0001726; GO:0002102; GO:0005522; GO:0005737; GO:0005783; GO:0005794; GO:0005829; GO:0005856; GO:0005886; GO:0005905; GO:0005925; GO:0005938; GO:0006886; GO:0006898; GO:0006930; GO:0007165; GO:0008076; GO:0030027; GO:0030036; GO:0030139; GO:0030516; GO:0030838; GO:0030863; GO:0043197; GO:0043231; GO:0045296; GO:0045987; GO:0048041; GO:0048812; GO:0048870; GO:0097062; GO:0097191; GO:0097581; GO:1901524; GO:1990023; GO:2001237
g10669	Q66HL2	GO:0001726; GO:0002102; GO:0005522; GO:0005737; GO:0005783; GO:0005884; GO:0005886; GO:0005905; GO:0005925; GO:0005938; GO:0006886; GO:0006898; GO:0006930; GO:0008076; GO:0016477; GO:0030027; GO:0030036; GO:0030054; GO:0030427; GO:0030516; GO:0030833; GO:0030838; GO:0030863; GO:0030864; GO:0043197; GO:0045987; GO:0048041; GO:0048812; GO:0048870; GO:0050921; GO:0051015; GO:0060491; GO:0070064; GO:0071933; GO:0097062; GO:0097191; GO:0097581; GO:0098794; GO:0098871; GO:0098885; GO:0098978; GO:0099010; GO:1901524; GO:1990023; GO:2001237
g619	P21128	GO:0003723; GO:0004521; GO:0005044; GO:0005576; GO:0005615; GO:0005737; GO:0005886; GO:0006508; GO:0006955; GO:0007565; GO:0008083; GO:0008236; GO:0016441; GO:0016829; GO:0030145; GO:0030247; GO:0050995
g615	Q5GH73	GO:0005886; GO:0043652; GO:0070782; GO:1902742
g616	Q8NDA2	GO:0005509; GO:0005576; GO:0005886; GO:0007156; GO:0008046; GO:0030424; GO:0032154; GO:0043025; GO:0050808; GO:0062023
g6178	Q6PUR6	GO:0003924; GO:0005525
g22633	Q9NPF2	GO:0000139; GO:0001537; GO:0001701; GO:0002063; GO:0006915; GO:0007179; GO:0007585; GO:0008146; GO:0009791; GO:0016020; GO:0016051; GO:0030166; GO:0030206; GO:0030512; GO:0033037; GO:0036342; GO:0042127; GO:0042733; GO:0043066; GO:0047756; GO:0048589; GO:0048703; GO:0050659
g13360	NA	NA
g13366	P53621	GO:0000139; GO:0005179; GO:0005198; GO:0005615; GO:0005737; GO:0005789; GO:0005829; GO:0006886; GO:0006888; GO:0006890; GO:0006891; GO:0016020; GO:0030126; GO:0030133; GO:0030157; GO:0030426; GO:0070062
g13367	Q8CIE6	GO:0000139; GO:0003729; GO:0005179; GO:0005198; GO:0005615; GO:0005737; GO:0005794; GO:0006886; GO:0006888; GO:0006890; GO:0006891; GO:0030126; GO:0030137; GO:0030157; GO:0030424; GO:0030426; GO:0043025; GO:0099612; GO:1902463
g13364	O54988	GO:0004672; GO:0004674; GO:0005524; GO:0005737; GO:0006915; GO:0030334; GO:0031122; GO:0031252; GO:0035173; GO:0042803; GO:0042981; GO:0043065; GO:0046777; GO:0048471; GO:0051893; GO:0071346; GO:0106310
g13365	E9PTG8	GO:0004674; GO:0005524; GO:0005737; GO:0005886; GO:0042802; GO:0042803; GO:0046777; GO:0071593; GO:0106310; GO:2000401
g13368	NA	NA
g2210	P54254	GO:0000122; GO:0003677; GO:0003682; GO:0003723; GO:0005634; GO:0005654; GO:0005737; GO:0006366; GO:0007399; GO:0007420; GO:0007612; GO:0007613; GO:0008266; GO:0008344; GO:0008542; GO:0016363; GO:0031208; GO:0032991; GO:0034046; GO:0035176; GO:0042326; GO:0042405; GO:0043569; GO:0045892; GO:0045944; GO:0048009; GO:0048286; GO:0051168; GO:0060079; GO:0060252; GO:0098794
g2213	NA	NA
g2212	Q9QZP2	GO:0000978; GO:0000981; GO:0001228; GO:0005123; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006357; GO:0006366; GO:0008168; GO:0010629; GO:0030308; GO:0031670; GO:0032259; GO:0035097; GO:0045165; GO:0045944; GO:0046872; GO:0071363; GO:1990226; GO:1990837; GO:2000177; GO:2000736
g2214	Q8IX07	GO:0000122; GO:0000785; GO:0002295; GO:0003151; GO:0003181; GO:0003192; GO:0003195; GO:0003677; GO:0003714; GO:0005634; GO:0005654; GO:0005667; GO:0007507; GO:0010724; GO:0017053; GO:0030218; GO:0030219; GO:0030220; GO:0030851; GO:0032091; GO:0032642; GO:0032713; GO:0032729; GO:0035162; GO:0035855; GO:0045944; GO:0046872; GO:0055008; GO:0060318; GO:0060319; GO:0060377; GO:0060412; GO:0060413; GO:0061629
g2217	Q9JJN2	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0008270
g2216	Q58EX7	GO:0005085; GO:0005737; GO:0005829; GO:0005886; GO:0007411; GO:0019898; GO:0051056
g13587	NA	NA
g13589	B5FXE5	GO:0005634; GO:0005811; GO:0005886; GO:0006915; GO:0016655; GO:0031966; GO:0042373
g11981	P58058	GO:0003951; GO:0005524; GO:0005829; GO:0006741; GO:0019674; GO:0035774; GO:0046872
g11986	O35125	GO:0005737; GO:0005829; GO:0005856; GO:0030317; GO:0036126; GO:0062177
g12183	Q2WEA5	GO:0005261; GO:0005262; GO:0005783; GO:0005789; GO:0005886; GO:0007165; GO:0007216; GO:0007601; GO:0008104; GO:0008324; GO:0030001; GO:0030424; GO:0030425; GO:0035841; GO:0046548; GO:0051262; GO:0051286; GO:0071482; GO:0098655; GO:0098703
g5884	O00628	GO:0001764; GO:0001958; GO:0005053; GO:0005777; GO:0005778; GO:0005782; GO:0005829; GO:0006625; GO:0006635; GO:0007031; GO:0008611; GO:0016558; GO:0019899; GO:0042803
g5886	Q80ZU5	GO:0002177; GO:0005737; GO:0005874; GO:0008017; GO:0036126
g1766	NA	NA
g938	Q6PCS4	GO:0005096; GO:0005737; GO:0007165; GO:0046872
g6233	P20461	GO:0002183; GO:0003743; GO:0003924; GO:0005525; GO:0005829; GO:0005850; GO:1990856
g15015	P10079	GO:0005509; GO:0005576; GO:0009374; GO:0031410; GO:0032579
g6237	Q1JPJ2	GO:0005829; GO:0006508; GO:0010815; GO:0030145; GO:0043069; GO:0070006
g6234	F1NV61	GO:0003723; GO:0004190; GO:0005615; GO:0005634; GO:0005737; GO:0005829; GO:0006508; GO:0042742; GO:0043525; GO:0070227; GO:0097153; GO:0097194; GO:0097200; GO:1905686
g18020	Q9GV77	GO:0005509; GO:0005886; GO:0007154; GO:0007156
g18021	Q9GV77	GO:0005509; GO:0005886; GO:0007154; GO:0007156
g15011	Q6PF21	GO:0000049; GO:0004825; GO:0005524; GO:0005730; GO:0005829; GO:0006431; GO:0017101
g22291	NA	NA
g22294	Q7T2P6	GO:0005744; GO:0006886; GO:0008320; GO:0015450; GO:0016020; GO:0030150; GO:0042719; GO:0045039
g22435	Q15637	GO:0000245; GO:0000389; GO:0000398; GO:0003714; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005681; GO:0005840; GO:0008270; GO:0016604; GO:0030238; GO:0030575; GO:0033327; GO:0042802; GO:0048024; GO:0048662; GO:0050810; GO:0089701
g8686	Q4PLW0	GO:0005622; GO:0005811; GO:0005829; GO:0010890; GO:0016020; GO:0019915; GO:0042149; GO:1905691
g8682	Q9CPX9	GO:0005634; GO:0005654; GO:0005680; GO:0005730; GO:0005737; GO:0006511; GO:0008270; GO:0016567; GO:0031145; GO:0034450; GO:0045842; GO:0051301; GO:0061630; GO:0070936; GO:0070979; GO:0097602; GO:0141198
g9085	O02833	GO:0005576; GO:0005886; GO:0007155
g21498	Q7ZY86	GO:0017080; GO:0031965
g12340	Q9TT16	GO:0005247; GO:0005524; GO:0005765; GO:0006821; GO:0015297; GO:0031902
g19022	Q14254	GO:0001931; GO:0002020; GO:0002080; GO:0005768; GO:0005886; GO:0005901; GO:0005912; GO:0005925; GO:0007155; GO:0008544; GO:0010629; GO:0016020; GO:0016323; GO:0016600; GO:0030027; GO:0030139; GO:0031410; GO:0031982; GO:0032839; GO:0043123; GO:0043231; GO:0044291; GO:0044860; GO:0045661; GO:0048471; GO:0050821; GO:0070062; GO:0072659; GO:0098937; GO:0098978; GO:0099072; GO:1902992; GO:1903905
g4041	Q02427	GO:0000381; GO:0000398; GO:0000791; GO:0001178; GO:0003729; GO:0005634; GO:0008380; GO:0010468; GO:0016607; GO:0031440; GO:0045292
g4045	A1A4N1	GO:0005326; GO:0005337; GO:0005765; GO:0005794; GO:0005886; GO:0006837; GO:0008504; GO:0015101; GO:0015205; GO:0015208; GO:0015210; GO:0015212; GO:0015213; GO:0015851; GO:0015858; GO:0015861; GO:0015862; GO:0015872; GO:0015874; GO:0031902; GO:0031966; GO:0032238; GO:0035340; GO:1901642; GO:1903716; GO:1903791; GO:1904082; GO:1904823
g5314	F4IYM4	GO:0000137; GO:0005509; GO:0005783; GO:0005829; GO:0005886; GO:0010208; GO:0010584; GO:0016020; GO:0071555
g11705	NA	NA
g1564	P69527	GO:0005730; GO:0006508; GO:0008270; GO:0070006
g1569	NA	NA
g7920	O08696	GO:0000086; GO:0000976; GO:0000977; GO:0001570; GO:0001889; GO:0003677; GO:0003700; GO:0005634; GO:0006281; GO:0006357; GO:0006978; GO:0008283; GO:0042127; GO:0043565; GO:0045893; GO:0045944; GO:0072089; GO:2000648; GO:2000781
g7922	NA	NA
g7925	Q8VI63	GO:0001934; GO:0005634; GO:0005737; GO:0007165; GO:0010976; GO:0030036; GO:0030295; GO:0044306; GO:0046872; GO:0048471
g7926	P17564	GO:0000122; GO:0000164; GO:0001934; GO:0005741; GO:0005783; GO:0005789; GO:0006915; GO:0008157; GO:0008285; GO:0010628; GO:0010801; GO:0010955; GO:0019888; GO:0019903; GO:0030968; GO:0033138; GO:0034976; GO:0043065; GO:0045765; GO:0045943; GO:0060734; GO:1902310
g19367	Q5U2Q3	GO:0005634; GO:0008270; GO:0016788
g13285	NA	NA
g6031	Q9UPN6	GO:0000993; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005737; GO:0005849; GO:0006369; GO:0016363; GO:0032786; GO:0043175; GO:1990269; GO:2000805
g409	A5A6J9	GO:0005737; GO:0005739; GO:0005829; GO:0008285; GO:0009615; GO:0043066; GO:0045087; GO:0051607
g401	Q0EEE2	GO:0005783; GO:0005789; GO:0005886; GO:0016020; GO:0097225
g400	Q92J02	GO:0005737; GO:0045454
g18245	NA	NA
g18246	NA	NA
g18247	Q9C0D6	GO:0003779; GO:0005794; GO:0005874; GO:0005881; GO:0005884; GO:0005929; GO:0008017; GO:0030041; GO:0043149; GO:0060271; GO:0090161
g18243	NA	NA
g4529	P0CB49	GO:0000122; GO:0001227; GO:0005634; GO:0016607; GO:0032204
g23095	Q5ZMM5	GO:0005634; GO:0005737; GO:0006417; GO:0045892; GO:0046872; GO:1902455
g16945	Q4TZY1	GO:0005242; GO:0005886; GO:0006813; GO:0016020; GO:0034702; GO:0034765; GO:0051289; GO:1990573
g16944	F1NHE9	GO:0005242; GO:0005886; GO:0006813; GO:0016020; GO:0034702; GO:0034765; GO:0042802; GO:0051289; GO:1990573
g16940	NA	NA
g14549	O75534	GO:0000932; GO:0003723; GO:0003729; GO:0005794; GO:0005829; GO:0005886; GO:0006446; GO:0008584; GO:0010494; GO:0034063; GO:0035613; GO:0045727; GO:0070934; GO:0070937; GO:0070966; GO:0075522; GO:0106002; GO:0106222; GO:1900152; GO:1905172; GO:2000767
g14545	Q92828	GO:0017053; GO:0035556; GO:0051015
g14541	Q99K85	GO:0004648; GO:0005737; GO:0005829; GO:0006564; GO:0030170; GO:0042802
g19672	O08715	GO:0003723; GO:0005739; GO:0005741; GO:0005783; GO:0005811; GO:0006915; GO:0008017; GO:0010614; GO:0016020; GO:0019901; GO:0019903; GO:0030061; GO:0030346; GO:0031594; GO:0034237; GO:0035308; GO:0042308; GO:0045211; GO:0048487; GO:0060090; GO:0099091; GO:0140374
g19670	Q23023	GO:0000045; GO:0000407; GO:0000422; GO:0004672; GO:0004674; GO:0005524; GO:0005737; GO:0005776; GO:0005829; GO:0006914; GO:0007409; GO:0007411; GO:0008340; GO:0008361; GO:0009792; GO:0010508; GO:0012501; GO:0016236; GO:0016477; GO:0030424; GO:0030516; GO:0032880; GO:0034045; GO:0034727; GO:0040014; GO:0040024; GO:0042594; GO:0043005; GO:0043025; GO:0043277; GO:0045138; GO:0046872; GO:0048675; GO:0061709; GO:0106310; GO:1902554
