"","uniprot_accession"
"8490","E7F7V7"
"8491","Q0VCM2"
"8492","Q9R0M0"
"8493","F1R332"
"8494","Q6NWG4"
"8495","Q9UBB5"
"8496","Q9MYM7"
"8497","O43825"
"8498","D8VNS8"
"8499","P34908"
"8500","Q0P5L5"
"8501","Q8WSR4"
"8502","Q8WSR4"
"8503","Q8WSR4"
"8504","Q8WSR4"
"8505","Q40375"
"8506","Q14714"
"8507","Q6J6I8"
"8508","O75051"
"8509","O60285"
"8510","E1BSI0"
"8511","E1BSI0"
"8512","Q708S6"
"8513","Q708S6"
"8514","Q5E9U6"
"8515","A0NLY7"
"8516","A0NLY7"
"8517","Q02650"
"8518","A4D0V7"
"8519","O18738"
"8520","Q08BL7"
"8521","A0FKN5"
"8522","A0FKN5"
"8523","Q9V4A7"
"8524","Q8IXR9"
"8525","Q9Y4C4"
"8526","Q8IZF6"
"8527","Q8IZF6"
"8528","P21856"
"8529","Q63563"
"8530","Q9BY76"
"8531","Q9WTS8"
"8532","P16395"
"8533","P82451"
"8534","O42385"
"8535","E9Q9W4"
"8536","E9Q9W4"
"8537","Q9CX98"
"8538","Q9CX98"
"8539","Q7Z449"
"8540","Q7Z449"
"8541","Q9P2E3"
"8542","Q9CX98"
"8543","Q0IIF9"
"8544","Q7Z449"
"8545","Q7Z449"
"8546","Q9QXF7"
"8547","Q7Z449"
"8548","O60706"
"8549","P15941"
"8550","Q9P2E3"
"8551","O60706"
"8552","Q5RCN7"
"8553","Q3ZC71"
"8554","Q3ZC71"
"8555","Q3SZ71"
"8556","Q6BEA0"
"8557","Q9V4A7"
"8558","Q8CJH3"
"8559","Q8R151"
"8560","P35832"
"8561","Q62656"
"8562","Q5RC19"
"8563","Q8HYL8"
"8564","Q9JJJ7"
"8565","A0FKN5"
"8566","Q17232"
"8567","D7PC76"
"8568","Q16881"
"8569","Q09575"
"8570","B7ZCC9"
"8571","B7ZCC9"
"8572","Q8IZF6"
"8573","Q8CJ12"
"8574","Q6N075"
"8575","Q8CFG5"
"8576","Q2TBR9"
"8577","Q14AI6"
"8578","P30676"
"8579","Q92889"
"8580","P30676"
"8581","P51593"
"8582","P51593"
"8583","Q7Z6Z7"
"8584","Q7Z6Z7"
"8585","Q8WXK3"
"8586","Q9UK61"
"8587","Q92889"
"8588","Q7T2L7"
"8589","Q7T2L7"
"8590","Q7T2L7"
"8591","Q4R6T7"
"8592","Q6ZR08"
"8593","Q8WXX0"
"8594","Q3V0Q1"
"8595","O54715"
"8596","Q86FP7"
"8597","Q9Z0V7"
"8598","Q9NS91"
"8599","Q9NS91"
"8600","Q6GMH0"
"8601","Q3UHX0"
"8602","O57382"
"8603","O88281"
"8604","P98133"
"8605","E1BD59"
"8606","Q9H8X2"
"8607","P34743"
"8608","Q9JMD2"
"8609","Q5VUG0"
"8610","I6V1W0"
"8611","Q641G7"
"8612","Q92889"
"8613","Q55GQ5"
"8614","P05181"
"8615","P41340"
"8616","P12716"
"8617","Q9Z2Z6"
"8618","P28337"
"8619","Q9W3K5"
"8620","Q96DM1"
"8621","Q65169"
"8622","O75197"
"8623","B0BNF9"
"8624","B0BNF9"
"8625","O88783"
"8626","Q99JW2"
"8627","Q6DGG1"
"8628","Q98SN7"
"8629","O43592"
"8630","Q9UHD2"
"8631","Q8BIK6"
"8632","Q3UG20"
"8633","Q3UG20"
"8634","Q3UG20"
"8635","Q15485"
"8636","O95786"
"8637","O95786"
"8638","Q9WV52"
"8639","O42260"
"8640","F4JKK0"
"8641","P16395"
"8642","P48747"
"8643","Q0P4P2"
"8644","Q5TM68"
"8645","Q6ZMW2"
"8646","Q8BLJ3"
"8647","Q1T7C1"
"8648","Q5BJN5"
"8649","Q8WMS0"
"8650","E9PVB5"
"8651","A8WIP6"
"8652","Q01717"
"8653","Q9MYM7"
"8654","Q5D0E6"
"8655","Q9EPW2"
"8656","Q494V2"
"8657","A7RX26"
"8658","F1R332"
"8659","P24628"
"8660","E7F211"
"8661","Q8N6F8"
"8662","Q6NU27"
"8663","Q810W9"
"8664","Q8IZJ3"
"8665","Q6ZV73"
"8666","Q6ZNL6"
"8667","A7RK30"
"8668","Q96AE7"
"8669","O88387"
"8670","O88387"
"8671","P62597"
"8672","Q5R8H3"
"8673","Q9CQM0"
"8674","B5X5D0"
"8675","Q3MII6"
"8676","P15848"
"8677","Q91453"
"8678","P50429"
"8679","P50429"
"8680","P15848"
"8681","Q9HCS2"
"8682","Q5RGE6"
"8683","Q295V5"
"8684","B5XBP5"
"8685","Q9UP83"
"8686","Q99MV5"
"8687","O95376"
"8688","O95376"
"8689","Q6PCB5"
"8690","P11029"
"8691","P11029"
"8692","Q5I0M0"
"8693","Q9EQU5"
"8694","B9EJX3"
"8695","Q5XGI3"
"8696","Q5ZIU3"
"8697","E1BD59"
"8698","P47897"
"8699","Q3MHH4"
"8700","Q9N0P9"
"8701","F6S215"
"8702","A0JNK6"
"8703","Q64077"
"8704","Q32PH7"
"8705","Q58588"
"8706","Q96MG7"
"8707","Q6DFN1"
"8708","Q503I2"
"8709","Q86TL2"
"8710","D3ZN95"
"8711","D3ZN95"
"8712","Q8BIE6"
"8713","Q14135"
"8714","Q14135"
"8715","Q5ZKY2"
"8716","Q5ZKY2"
"8717","Q5ZKY2"
"8718","Q80UN9"
"8719","P19327"
"8720","Q8JG69"
"8721","Q9I918"
"8722","Q6E2N3"
"8723","P46023"
"8724","Q66H84"
"8725","Q6PHZ5"
"8726","Q8IZD9"
"8727","Q8IZD9"
"8728","Q8IZD9"
"8729","B2RY04"
"8730","Q9NRM2"
"8731","Q5RAU6"
"8732","Q9CX66"
"8733","Q9BRZ2"
"8734","Q96HN2"
"8735","Q04073"
"8736","H3BMG3"
"8737","O54879"
"8738","O54879"
"8739","Q8NFZ0"
"8740","Q8NFZ0"
"8741","Q8NFZ0"
"8742","F1ND48"
"8743","A2AS55"
"8744","Q16635"
"8745","F1MV99"
"8746","P16273"
"8747","A4IHS0"
"8748","Q8BUH1"
"8749","Q6DJI9"
"8750","A7RKF6"
"8751","Q9D1L9"
"8752","B8NCQ5"
"8753","B8NCQ5"
"8754","P57772"
"8755","A6H8Y1"
"8756","P21328"
"8757","Q8AVN9"
"8758","Q9H1K0"
"8759","Q7YU29"
"8760","Q95LL3"
"8761","Q9NU19"
"8762","Q55C17"
"8763","Q8TCT0"
"8764","Q00612"
"8765","Q6UXH1"
"8766","Q19267"
"8767","O60706"
"8768","P82451"
"8769","Q9QYM7"
"8770","O60706"
"8771","P82451"
"8772","P82451"
"8773","Q63563"
"8774","P56470"
"8775","Q29611"
"8776","Q7SXW4"
"8777","Q7L0Y3"
"8778","Q8BR07"
"8779","A7S1L6"
"8780","Q9FN03"
"8781","P09848"
"8782","O60706"
"8783","O60706"
"8784","Q9NY47"
"8785","Q9NY47"
"8786","Q9NY47"
"8787","Q920B6"
"8788","Q6P799"
"8789","Q6GM59"
"8790","O15374"
"8791","Q7RTX9"
"8792","O15374"
"8793","A4IF63"
"8794","O14841"
"8795","Q7RTY1"
"8796","Q8R0M8"
"8797","Q7RTY0"
"8798","Q96SM3"
"8799","P09960"
"8800","G3M4F8"
"8801","Q9H816"
"8802","Q9WVF8"
"8803","Q7YRA3"
"8804","A7Z063"
"8805","Q8N0U4"
"8806","Q640L2"
"8807","Q6DEZ2"
"8808","E7F7V7"
"8809","Q2KIP6"
"8810","E7F7V7"
"8811","Q8AVJ2"
"8812","E7F7V7"
"8813","Q2KIP6"
"8814","P25931"
"8815","E7F7V7"
"8816","Q8BZ39"
"8817","F1R332"
"8818","Q9MYW9"
"8819","P25931"
"8820","Q9VKA4"
"8821","E7F7V7"
"8822","O97661"
"8823","F1R332"
"8824","E7F7V7"
"8825","E7F7V7"
"8826","Q2KIP6"
"8827","P25931"
"8828","E7F7V7"
"8829","P25931"
"8830","E7F7V7"
"8831","Q9UDR5"
"8832","A8E657"
"8833","Q8ITC9"
"8834","F1R332"
"8835","C3ZQF9"
"8836","Q9VML9"
"8837","E7F7V7"
"8838","E7F7V7"
"8839","P25931"
"8840","P25931"
"8841","P25931"
"8842","F1R332"
"8843","A2VCW9"
"8844","A2VCW9"
"8845","E7F7V7"
"8846","E7F7V7"
"8847","P25931"
"8848","P33534"
"8849","P25931"
"8850","A8E657"
"8851","A8E657"
"8852","Q8K339"
"8853","P02707"
"8854","P25931"
"8855","Q03001"
"8856","P25931"
"8857","P81282"
"8858","P02707"
"8859","P02469"
"8860","Q8BH65"
"8861","Q5XGY1"
"8862","P47179"
"8863","P13676"
"8864","A2A3K4"
"8865","Q6P2S7"
"8866","Q6P2S7"
"8867","Q6P2S7"
"8868","Q2T9W2"
"8869","Q5S006"
"8870","Q9UPS8"
"8871","Q32LH4"
"8872","Q32LH4"
"8873","O35516"
"8874","Q96QE2"
"8875","Q921A2"
"8876","Q96QE2"
"8877","Q17LW0"
"8878","Q17LW0"
"8879","Q9BH05"
"8880","Q76KJ5"
"8881","Q498S6"
"8882","Q8K2H1"
"8883","Q5E980"
"8884","O53532"
"8885","P0CH95"
"8886","P0CH95"
"8887","Q1LXK4"
"8888","P23249"
"8889","Q91502"
"8890","E7F7V7"
"8891","E7F7V7"
"8892","A0A1D5NSM8"
"8893","Q9TT96"
"8894","B0JZG0"
"8895","E7F7V7"
"8896","B0JZG0"
"8897","E7F7V7"
"8898","Q9HC24"
"8899","P21158"
"8900","Q63481"
"8901","A8WGF4"
"8902","Q640R7"
"8903","F1MNN4"
"8904","O15973"
"8905","Q9Y2M2"
"8906","Q3U2V3"
"8907","Q09428"
"8908","Q9D411"
"8909","P70170"
"8910","Q9Y291"
"8911","Q6PHU5"
"8912","G3V9D0"
"8913","P34121"
"8914","Q3MHX1"
"8915","P56652"
"8916","Q9GLY5"
"8917","Q9GLY5"
"8918","Q5R605"
"8919","Q86UX2"
"8920","Q9DCM0"
"8921","Q5FVB0"
"8922","Q3L254"
"8923","Q13117"
"8924","Q3T042"
"8925","Q8IPH9"
"8926","Q5R9S8"
"8927","P56581"
"8928","Q8BSQ9"
"8929","Q3T0J9"
"8930","Q96DM1"
"8931","Q99L45"
"8932","Q13825"
"8933","Q9H0J4"
"8934","Q9H0J4"
"8935","A0A0H3HIJ5"
"8936","Q9H0J4"
"8937","A0A0H3HIJ5"
"8938","Q9H0J4"
"8939","Q6YHK3"
"8940","A0A0H3HIJ5"
"8941","Q08874"
"8942","Q8VD46"
"8943","O02751"
"8944","O61443"
"8945","Q9DGE2"
"8946","Q6YHK3"
"8947","Q9UR07"
"8948","D3ZQG6"
"8949","P62311"
"8950","Q96AA3"
"8951","W7JX98"
"8952","Q1RMH9"
"8953","Q3SZB5"
"8954","Q8BX57"
"8955","Q8BX57"
"8956","P11966"
"8957","Q8VEM8"
"8958","Q9H5L6"
"8959","F1QF89"
"8960","P18294"
"8961","P18294"
"8962","Q9UKG1"
"8963","Q6C7A6"
"8964","A1L1M4"
"8965","Q91ZT8"
"8966","Q91ZT8"
"8967","Q8WWX0"
"8968","Q5ZLX4"
"8969","Q5ZLX4"
"8970","Q5ZLX4"
"8971","Q5ZLX4"
"8972","Q5XFW8"
"8973","O35161"
"8974","O35161"
"8975","P53500"
"8976","B0G143"
"8977","E7FDW2"
"8978","Q9UPQ7"
"8979","P79385"
"8980","P41148"
"8981","Q7KVW5"
"8982","Q86XH1"
"8983","Q86XH1"
"8984","Q4G017"
"8985","Q9D581"
"8986","Q8VEL2"
"8987","O75648"
"8988","P09215"
"8989","Q9NZJ4"
"8990","Q00725"
"8991","Q14BN4"
"8992","Q14BN4"
"8993","P21711"
"8994","O75179"
"8995","Q8BJA2"
"8996","P14234"
"8997","Q6P6U0"
"8998","Q6PI26"
"8999","Q86WS4"
"9000","Q9NZJ4"
"9001","F1RBC8"
"9002","Q9UBJ2"
"9003","P31646"
"9004","P31646"
"9005","P31646"
"9006","Q9ASR4"
"9007","Q9D4D4"
"9008","Q9D4D4"
"9009","O00468"
"9010","Q9Y493"
"9011","Q9Y493"
"9012","Q9Y493"
"9013","Q9Y493"
"9014","Q9Y493"
"9015","Q6INN8"
"9016","O96790"
"9017","Q9UBN7"
"9018","Q9UBN7"
"9019","Q29J90"
"9020","Q9UBN7"
"9021","O95243"
"9022","O95243"
"9023","Q0VCA5"
"9024","P46058"
"9025","Q9ULI1"
"9026","Q5ZKD7"
"9027","Q8HXG5"
"9028","W0LYS5"
"9029","Q3UPR0"
"9030","P08953"
"9031","Q6EMK4"
"9032","Q9QX05"
"9033","Q9JLC8"
"9034","P20488"
"9035","P53590"
"9036","Q8R431"
"9037","Q5XIU1"
"9038","Q99LJ2"
"9039","D4GYG7"
"9040","Q9X248"
"9041","Q9NZJ4"
"9042","Q9JKS6"
"9043","Q9PU36"
"9044","Q9UKK9"
"9045","Q17232"
"9046","Q9JLC8"
"9047","P80146"
"9048","Q8AY32"
"9049","P23824"
"9050","O13076"
"9051","P80146"
"9052","P80146"
"9053","Q9JLC8"
"9054","O13076"
"9055","Q5E985"
"9056","P80146"
"9057","Q5R4J5"
"9058","Q6MG82"
"9059","Q9D8N6"
"9060","P0CG25"
"9061","Q9HA90"
"9062","Q6NWG4"
"9063","P98157"
"9064","O75581"
"9065","Q588U8"
"9066","Q9NZJ4"
"9067","Q14657"
"9068","C6KFA3"
"9069","O60669"
"9070","Q9NZJ4"
"9071","Q8NHV4"
"9072","Q8NHV4"
"9073","Q9VQ56"
"9074","Q9V3G7"
"9075","P82669"
"9076","Q8N2F6"
"9077","Q8NEE6"
"9078","Q8NEE6"
"9079","P07439"
"9080","Q25378"
"9081","Q6AZD4"
"9082","Q6AZD4"
"9083","Q9JLC8"
"9084","Q8BPT6"
"9085","Q9D8U8"
"9086","Q9UBG0"
"9087","Q68FS3"
"9088","Q6QM28"
"9089","P26652"
"9090","P81556"
"9091","Q9W6B4"
"9092","Q9W6B4"
"9093","Q9JHB3"
"9094","Q9JLC8"
"9095","Q9JHB3"
"9096","P35624"
"9097","P26652"
"9098","O70441"
"9099","Q75K28"
"9100","P0CC00"
"9101","Q9Y6G3"
"9102","Q9JLC8"
"9103","Q04832"
"9104","Q04832"
"9105","Q04832"
"9106","Q71SG7"
"9107","Q641S4"
"9108","Q8R2S9"
"9109","O08816"
"9110","P42768"
"9111","P25207"
"9112","P25207"
"9113","Q9I8E6"
"9114","Q9NZJ4"
"9115","Q9SA71"
"9116","Q8R066"
"9117","B2GUB3"
"9118","B2GUB3"
"9119","Q9DC53"
"9120","Q5BKT4"
"9121","Q8QZZ7"
"9122","Q9VKV8"
"9123","Q91XA8"
"9124","Q9NZJ4"
"9125","Q9P2Z0"
"9126","Q9NZJ4"
"9127","Q1JP73"
"9128","Q93075"
"9129","Q8WWW0"
"9130","Q2KNE5"
"9131","Q63ZY7"
"9132","Q6P643"
"9133","Q9JLC8"
"9134","F1R332"
"9135","A2RV80"
"9136","Q5RGV1"
"9137","Q5RGV1"
"9138","O18404"
"9139","O73775"
"9140","P37889"
"9141","Q9CU62"
"9142","Q90X38"
"9143","Q9JLC8"
"9144","Q62186"
"9145","P35831"
"9146","Q8W485"
"9147","Q6UXM1"
"9148","O95907"
"9149","Q8BGC3"
"9150","Q8BGC3"
"9151","Q8BGC3"
"9152","W5PLZ6"
"9153","Q6GM59"
"9154","Q3T052"
"9155","Q6UXX5"
"9156","Q3T052"
"9157","Q3T052"
"9158","Q3T052"
"9159","Q3T052"
"9160","Q3T052"
"9161","Q3T052"
"9162","Q9GLY5"
"9163","Q9GLY5"
"9164","Q8IUX8"
"9165","Q8IUX8"
"9166","Q9D0W5"
"9167","Q9N2B0"
"9168","Q6UWM7"
"9169","Q96LD8"
"9170","Q2HJA9"
"9171","Q9ULK2"
"9172","Q9ULK2"
"9173","P85971"
"9174","Q3UXZ9"
"9175","Q3UXZ9"
"9176","Q30DN6"
"9177","Q6DFC2"
"9178","A0A0G2JUG7"
"9179","Q9UHC3"
"9180","O70497"
"9181","O70497"
"9182","Q9Y2U8"
"9183","Q6ZR37"
"9184","H2L002"
"9185","Q28596"
"9186","Q28596"
"9187","P79190"
"9188","Q28596"
"9189","Q9I928"
"9190","Q68ED2"
"9191","Q68ED2"
"9192","Q14832"
"9193","P50579"
"9194","O15455"
"9195","P21333"
"9196","A1A546"
"9197","A2AE42"
"9198","Q14686"
"9199","A5YKK6"
"9200","Q9WUE4"
"9201","O62714"
"9202","O62714"
"9203","P48442"
"9204","A4IIA7"
"9205","Q5W1J5"
"9206","Q8IVH2"
"9207","Q8IVH2"
"9208","A0JP85"
"9209","A0JP85"
"9210","P07207"
"9211","P07207"
"9212","P07207"
"9213","P07207"
"9214","P97677"
"9215","Q6ZUG5"
"9216","Q6ZUG5"
"9217","Q9ULG3"
"9218","Q8BRG8"
"9219","P22000"
"9220","Q9BXW9"
"9221","A5YKK6"
"9222","P22000"
"9223","Q9BXW9"
"9224","O18806"
"9225","Q9GLY5"
"9226","Q09225"
"9227","Q55563"
"9228","Q55563"
"9229","Q6ZSM3"
"9230","Q9NQS5"
"9231","Q9UQ52"
"9232","Q9UQ52"
"9233","P35331"
"9234","P35331"
"9235","A0A1D8PF57"
"9236","Q09225"
"9237","Q16829"
"9238","Q7T0P4"
"9239","A2CEH0"
"9240","Q28I85"
"9241","Q5RB79"
"9242","Q5K651"
"9243","Q5K651"
"9244","Q5K651"
"9245","Q9NP80"
"9246","Q2M389"
"9247","P05140"
"9248","P41983"
"9249","P30546"
"9250","P13154"
"9251","P13154"
"9252","A6QR55"
"9253","B2GUZ1"
"9254","Q8BFQ4"
"9255","Q5M821"
"9256","Q96DB2"
"9257","Q9H4K1"
"9258","Q09225"
"9259","Q9D1P0"
"9260","Q9Y4C4"
"9261","P00734"
"9262","Q98SP7"
"9263","Q6ZUK4"
"9264","Q0VG85"
"9265","Q0VG85"
"9266","Q0VG85"
"9267","Q96PZ0"
"9268","Q91VU7"
"9269","O76536"
"9270","Q9Y2T5"
"9271","Q9Y5X5"
"9272","P55861"
"9273","Q4V8X0"
"9274","O76536"
"9275","O76536"
"9276","O76536"
"9277","O76536"
"9278","O76536"
"9279","O76536"
"9280","Q3SZL6"
"9281","P15381"
"9282","P15381"
"9283","Q01668"
"9284","P0CF65"
"9285","Q9UBS3"
"9286","Q5R9W3"
"9287","O46421"
"9288","Q8N2Q7"
"9289","P47990"
"9290","P41252"
"9291","Q8BU30"
"9292","D3K0R6"
"9293","Q64568"
"9294","Q29504"
"9295","Q9NSC7"
"9296","Q6DEY8"
"9297","Q01361"
"9298","O15992"
"9299","Q5ZMP3"
"9300","Q95218"
"9301","Q9UGM3"
"9302","Q9UGM3"
"9303","Q3UJD6"
"9304","Q6DEY8"
"9305","D3Z423"
"9306","G5ECS8"
"9307","G5ECS8"
"9308","Q96RW7"
"9309","Q96RW7"
"9310","D3YXG0"
"9311","Q5G266"
"9312","Q5G266"
"9313","O15083"
"9314","Q99MI1"
"9315","Q99MI1"
"9316","Q8N1E6"
"9317","D3Z423"
"9318","Q8BGQ7"
"9319","P33945"
"9320","Q9Y6H3"
"9321","Q90Z16"
"9322","Q90Z16"
"9323","Q6ZXC9"
"9324","P61644"
"9325","Q63563"
"9326","O60706"
"9327","A0A061ACU2"
"9328","Q86UP9"
"9329","Q08830"
"9330","Q8IUX7"
"9331","Q60997"
"9332","Q9UGM3"
"9333","Q95218"
"9334","Q9ERV7"
"9335","A0A061ACU2"
"9336","A0A061ACU2"
"9337","A0A061ACU2"
"9338","Q52I78"
"9339","A7SMR0"
"9340","Q9Z2U1"
"9341","Q53B90"
"9342","Q91WM2"
"9343","Q91WM2"
"9344","Q6AYB3"
"9345","Q96G21"
"9346","Q9QY36"
"9347","Q3UX61"
"9348","Q6NXP0"
"9349","Q6NXP0"
"9350","Q2HJM9"
"9351","Q07646"
"9352","Q07646"
"9353","A0JPH7"
"9354","P05631"
"9355","B2RRD7"
"9356","P0DW91"
"9357","P55201"
"9358","P55201"
"9359","P55201"
"9360","P55201"
"9361","Q2QLC0"
"9362","Q2QLC0"
"9363","P16056"
"9364","Q9Y222"
"9365","O96790"
"9366","A6QLP7"
"9367","Q8BW94"
"9368","Q8BW94"
"9369","Q8TD57"
"9370","Q8BW94"
"9371","Q6NS45"
"9372","F1PZQ5"
"9373","Q5RCM6"
"9374","P78329"
"9375","Q64462"
"9376","Q6NT55"
"9377","Q7Z3G6"
"9378","Q5RJV0"
"9379","Q5RDH2"
"9380","Q07DW4"
"9381","Q2IBB2"
"9382","G5E8P0"
"9383","P10079"
"9384","P10079"
"9385","P10079"
"9386","P23249"
"9387","Q5ZKD7"
"9388","E7F7V7"
"9389","P23978"
"9390","P30531"
"9391","O15973"
"9392","E7F7V7"
"9393","P34975"
"9394","E7F7V7"
"9395","E7F7V7"
"9396","E7F7V7"
"9397","E7F7V7"
"9398","P62321"
"9399","Q9R0X0"
"9400","Q9CWZ7"
"9401","Q8ND61"
"9402","Q5XI52"
"9403","Q32KI9"
"9404","Q99LW6"
"9405","Q5ZJX5"
"9406","Q8R3A2"
"9407","Q9DBB9"
"9408","Q96SD1"
"9409","O96790"
"9410","P58137"
"9411","Q9Z1J2"
"9412","Q9Z1J2"
"9413","Q8CFG5"
"9414","Q8CFG5"
"9415","Q3B8D7"
"9416","Q6DDT4"
"9417","P19221"
"9418","Q86VB7"
"9419","Q5ZQU0"
"9420","Q5ZQU0"
"9421","O88843"
"9422","Q7RTX9"
"9423","P22897"
"9424","Q5PQN4"
"9425","Q1JQ66"
"9426","A0A1D9BZF0"
"9427","Q2PG37"
"9428","Q28C33"
"9429","P53634"
"9430","Q9Y6I9"
"9431","O31431"
"9432","Q2HJC9"
"9433","Q26619"
"9434","Q26619"
"9435","H3BNL1"
"9436","Q96N23"
"9437","Q96N23"
"9438","Q96N23"
"9439","Q96N23"
"9440","Q6NRW2"
"9441","A4GTP4"
"9442","Q1L8I0"
"9443","Q6P7G6"
"9444","Q7Z3Z2"
"9445","Q5EAW4"
"9446","Q9HAU5"
"9447","Q9HAU5"
"9448","A4QNR3"
"9449","A2AT37"
"9450","Q6GL44"
"9451","Q8R4U0"
"9452","Q8WWQ8"
"9453","Q8WWQ8"
"9454","Q803T2"
"9455","Q803T2"
"9456","P93047"
"9457","P09623"
"9458","F4JEQ2"
"9459","B9FAF3"
"9460","Q7ZW46"
"9461","Q7ZW46"
"9462","O35831"
"9463","O35832"
"9464","Q00536"
"9465","Q5R7J6"
"9466","Q80TR8"
"9467","Q8F7W8"
"9468","Q8F7W8"
"9469","Q8F7W8"
"9470","P19182"
"9471","A2CI35"
"9472","Q5U4V2"
"9473","P98173"
"9474","Q8WZA1"
"9475","P51650"
"9476","Q9D8P7"
"9477","Q8JZX4"
"9478","Q8JZX4"
"9479","Q5U4V2"
"9480","Q6NRK9"
"9481","Q9UK00"
"9482","Q26622"
"9483","Q26622"
"9484","Q26622"
"9485","Q26622"
"9486","Q08CY9"
"9487","P54281"
"9488","Q9UQC9"
"9489","Q8NCL8"
"9490","Q80TF4"
"9491","Q80TF4"
"9492","P70031"
"9493","F1R332"
"9494","Q6DC37"
"9495","B0FPE9"
"9496","O88854"
"9497","P79218"
"9498","O08726"
"9499","P70031"
"9500","Q6ZQY2"
"9501","Q2KIA5"
"9502","Q17902"
"9503","Q5U4V2"
"9504","Q12893"
"9505","O18373"
"9506","O18373"
"9507","Q63505"
"9508","Q12789"
"9509","P62257"
"9510","Q5M8S7"
"9511","Q0V9P1"
"9512","Q6PID8"
"9513","Q8VXZ0"
"9514","Q8VXZ0"
"9515","Q9P2N4"
"9516","Q9P2N4"
"9517","Q9P2N4"
"9518","Q9P2N4"
"9519","F1R4Y7"
"9520","B0S5N4"
"9521","Q5U4V2"
"9522","A8E0R9"
"9523","Q6DIK0"
"9524","Q6BEA0"
"9525","Q6BEA0"
"9526","Q94K49"
"9527","Q9V4A7"
"9528","P70206"
"9529","Q5AHB8"
"9530","O43157"
"9531","Q9V4A7"
"9532","Q9ULL4"
"9533","O43157"
"9534","Q80UG2"
"9535","Q9V4A7"
"9536","Q8CJH3"
"9537","B2RXS4"
"9538","Q80UG2"
"9539","Q6DC37"
"9540","Q9V4A7"
"9541","Q6NZW8"
"9542","Q9ULL4"
"9543","Q9V4A7"
"9544","Q9HCM2"
"9545","Q9HCM2"
"9546","Q9V4A7"
"9547","Q9V4A7"
"9548","Q28DH9"
"9549","Q9V4A7"
"9550","Q9V4A7"
"9551","Q80UG2"
"9552","O43157"
"9553","O43157"
"9554","O43772"
"9555","Q9DGD1"
"9556","Q63563"
"9557","O60290"
"9558","Q63563"
"9559","Q7RTX9"
"9560","Q7ZWB2"
"9561","Q7ZY86"
"9562","Q7ZY86"
"9563","Q7ZY86"
"9564","A1A5H8"
"9565","A0JNG0"
"9566","Q8NA31"
"9567","Q8NA31"
"9568","O15457"
"9569","Q7Z6B7"
"9570","A6QL50"
"9571","Q08CD5"
"9572","Q568K9"
"9573","P51644"
"9574","B9EJI9"
"9575","Q9H5Z1"
"9576","P0C218"
"9577","Q12792"
"9578","Q5ZM35"
"9579","Q5XK94"
"9580","P70501"
"9581","P70501"
"9582","P70501"
"9583","P70501"
"9584","Q1RMU5"
"9585","Q5RK00"
"9586","Q9P0U4"
"9587","Q9GZR2"
"9588","P11714"
"9589","Q9NX04"
"9590","Q9CX98"
"9591","P11714"
"9592","P11714"
"9593","P11714"
"9594","P11714"
"9595","Q4V8D1"
"9596","P17560"
"9597","P82343"
"9598","P82343"
"9599","Q61033"
"9600","Q149M9"
"9601","Q5XLR4"
"9602","Q8VD04"
"9603","Q9JHZ4"
"9604","P17971"
"9605","P17971"
"9606","P17971"
"9607","Q1KZG4"
"9608","Q9HCJ2"
"9609","Q3B7H2"
"9610","Q9DE07"
"9611","O60706"
"9612","O60706"
"9613","P70170"
"9614","P78509"
"9615","Q9JIL9"
"9616","Q68DN1"
"9617","Q95SX7"
"9618","Q58DF3"
"9619","Q9CX98"
"9620","O54750"
"9621","Q9Y236"
"9622","Q58CN9"
"9623","Q7Z3U7"
"9624","Q7Z3U7"
"9625","Q7Z3U7"
"9626","Q9PSX7"
"9627","P01122"
"9628","Q6NW85"
"9629","Q9DAJ5"
"9630","Q68EQ1"
"9631","Q5F489"
"9632","Q7ZVX6"
"9633","Q3KRG3"
"9634","Q9BV10"
"9635","Q8VDB2"
"9636","Q5E9Q3"
"9637","Q9YHT4"
"9638","Q9YHT4"
"9639","O60706"
"9640","P82451"
"9641","Q2T9Q1"
"9642","P07700"
"9643","Q09428"
"9644","P70170"
"9645","Q8YA32"
"9646","Q8YA32"
"9647","P62597"
"9648","Q91WC1"
"9649","Q08BB2"
"9650","Q55E58"
"9651","Q3SY69"
"9652","Q9M2U3"
"9653","F1R332"
"9654","Q58CP0"
"9655","P82349"
"9656","P82349"
"9657","Q9NXP7"
"9658","E7F4Z4"
"9659","O14522"
"9660","Q9D8S9"
"9661","O15072"
"9662","Q9UKP5"
"9663","Q8MPM1"
"9664","Q8MPM1"
"9665","E7F4Z4"
"9666","E1BC52"
"9667","Q8MPM1"
"9668","Q86YA3"
"9669","D3UW23"
"9670","Q9U637"
"9671","Q9U637"
"9672","Q9U637"
"9673","Q9U637"
"9674","P21138"
"9675","Q9W751"
"9676","Q6GR45"
"9677","Q566X8"
"9678","Q566X8"
"9679","P82808"
"9680","Q71U00"
"9681","P0CT43"
"9682","Q09575"
"9683","P51809"
"9684","O70404"
"9685","Q3UPL0"
"9686","Q3UPL0"
"9687","Q3UPL0"
"9688","Q6NTS3"
"9689","P34714"
"9690","P30975"
"9691","P18163"
"9692","Q92038"
"9693","Q92038"
"9694","O54750"
"9695","Q9QXF7"
"9696","Q1H9T6"
"9697","P06027"
"9698","O73853"
"9699","O73853"
"9700","P62966"
"9701","Q9DCG6"
"9702","B1H2N3"
"9703","Q3UMR5"
