Assembly Accession	Assembly Unplaced Count	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count
GCA_032158295.1		Primary Assembly	Un			JASTWB010000532.1	Chromosome			unplaced-scaffold	14730		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000533.1	Chromosome			unplaced-scaffold	14652		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000534.1	Chromosome			unplaced-scaffold	14572		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000535.1	Chromosome			unplaced-scaffold	14571		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000536.1	Chromosome			unplaced-scaffold	14569		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000537.1	Chromosome			unplaced-scaffold	14526		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000538.1	Chromosome			unplaced-scaffold	14519		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000539.1	Chromosome			unplaced-scaffold	14490		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000540.1	Chromosome			unplaced-scaffold	14464		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000541.1	Chromosome			unplaced-scaffold	14443		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000542.1	Chromosome			unplaced-scaffold	14415		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000543.1	Chromosome			unplaced-scaffold	14381		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000544.1	Chromosome			unplaced-scaffold	14367		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000545.1	Chromosome			unplaced-scaffold	14343		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000546.1	Chromosome			unplaced-scaffold	14324		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000547.1	Chromosome			unplaced-scaffold	14311		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000548.1	Chromosome			unplaced-scaffold	14307		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000549.1	Chromosome			unplaced-scaffold	14275		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000550.1	Chromosome			unplaced-scaffold	14259		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000551.1	Chromosome			unplaced-scaffold	14237		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000552.1	Chromosome			unplaced-scaffold	14232		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000553.1	Chromosome			unplaced-scaffold	14202		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000554.1	Chromosome			unplaced-scaffold	14171		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000555.1	Chromosome			unplaced-scaffold	14145		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000556.1	Chromosome			unplaced-scaffold	14118		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000557.1	Chromosome			unplaced-scaffold	14057		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000558.1	Chromosome			unplaced-scaffold	14023		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000559.1	Chromosome			unplaced-scaffold	14012		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000560.1	Chromosome			unplaced-scaffold	13980		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000561.1	Chromosome			unplaced-scaffold	13961		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000562.1	Chromosome			unplaced-scaffold	13946		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000563.1	Chromosome			unplaced-scaffold	13934		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000564.1	Chromosome			unplaced-scaffold	13933		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000565.1	Chromosome			unplaced-scaffold	13912		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000566.1	Chromosome			unplaced-scaffold	13908		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000567.1	Chromosome			unplaced-scaffold	13848		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000568.1	Chromosome			unplaced-scaffold	13804		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000569.1	Chromosome			unplaced-scaffold	13765		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000570.1	Chromosome			unplaced-scaffold	13750		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000571.1	Chromosome			unplaced-scaffold	13748		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000572.1	Chromosome			unplaced-scaffold	13741		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000573.1	Chromosome			unplaced-scaffold	13734		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000574.1	Chromosome			unplaced-scaffold	13732		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000575.1	Chromosome			unplaced-scaffold	13698		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000576.1	Chromosome			unplaced-scaffold	13669		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000577.1	Chromosome			unplaced-scaffold	13666		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000578.1	Chromosome			unplaced-scaffold	13640		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000579.1	Chromosome			unplaced-scaffold	13628		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000580.1	Chromosome			unplaced-scaffold	13608		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000581.1	Chromosome			unplaced-scaffold	13599		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000582.1	Chromosome			unplaced-scaffold	13586		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000583.1	Chromosome			unplaced-scaffold	13571		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000584.1	Chromosome			unplaced-scaffold	13477		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000585.1	Chromosome			unplaced-scaffold	13460		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000586.1	Chromosome			unplaced-scaffold	13445		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000587.1	Chromosome			unplaced-scaffold	13401		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000588.1	Chromosome			unplaced-scaffold	13387		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000589.1	Chromosome			unplaced-scaffold	13382		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000590.1	Chromosome			unplaced-scaffold	13346		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000591.1	Chromosome			unplaced-scaffold	13231		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000592.1	Chromosome			unplaced-scaffold	13229		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000593.1	Chromosome			unplaced-scaffold	13165		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000594.1	Chromosome			unplaced-scaffold	13158		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000595.1	Chromosome			unplaced-scaffold	13140		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000596.1	Chromosome			unplaced-scaffold	13111		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000597.1	Chromosome			unplaced-scaffold	13093		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000598.1	Chromosome			unplaced-scaffold	13088		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000599.1	Chromosome			unplaced-scaffold	13074		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000600.1	Chromosome			unplaced-scaffold	13041		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000601.1	Chromosome			unplaced-scaffold	12930		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000602.1	Chromosome			unplaced-scaffold	12923		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000603.1	Chromosome			unplaced-scaffold	12885		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000604.1	Chromosome			unplaced-scaffold	12882		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000605.1	Chromosome			unplaced-scaffold	12848		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000606.1	Chromosome			unplaced-scaffold	12832		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000607.1	Chromosome			unplaced-scaffold	12827		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000608.1	Chromosome			unplaced-scaffold	12823		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000609.1	Chromosome			unplaced-scaffold	12811		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000610.1	Chromosome			unplaced-scaffold	12797		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000611.1	Chromosome			unplaced-scaffold	12751		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000612.1	Chromosome			unplaced-scaffold	12739		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000613.1	Chromosome			unplaced-scaffold	12717		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000614.1	Chromosome			unplaced-scaffold	12688		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000615.1	Chromosome			unplaced-scaffold	12628		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000616.1	Chromosome			unplaced-scaffold	12620		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000617.1	Chromosome			unplaced-scaffold	12619		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000618.1	Chromosome			unplaced-scaffold	12611		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000619.1	Chromosome			unplaced-scaffold	12603		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000620.1	Chromosome			unplaced-scaffold	12587		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000621.1	Chromosome			unplaced-scaffold	12582		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000622.1	Chromosome			unplaced-scaffold	12581		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000623.1	Chromosome			unplaced-scaffold	12535		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000624.1	Chromosome			unplaced-scaffold	12513		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000625.1	Chromosome			unplaced-scaffold	12501		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000626.1	Chromosome			unplaced-scaffold	12499		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000627.1	Chromosome			unplaced-scaffold	12496		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000628.1	Chromosome			unplaced-scaffold	12353		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000629.1	Chromosome			unplaced-scaffold	12340		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000630.1	Chromosome			unplaced-scaffold	12295		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000631.1	Chromosome			unplaced-scaffold	12291		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000632.1	Chromosome			unplaced-scaffold	12280		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000633.1	Chromosome			unplaced-scaffold	12243		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000634.1	Chromosome			unplaced-scaffold	12229		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000635.1	Chromosome			unplaced-scaffold	12192		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000636.1	Chromosome			unplaced-scaffold	12165		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000637.1	Chromosome			unplaced-scaffold	12163		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000638.1	Chromosome			unplaced-scaffold	12158		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000639.1	Chromosome			unplaced-scaffold	12157		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000640.1	Chromosome			unplaced-scaffold	12119		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000641.1	Chromosome			unplaced-scaffold	12110		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000642.1	Chromosome			unplaced-scaffold	12102		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000643.1	Chromosome			unplaced-scaffold	12085		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000644.1	Chromosome			unplaced-scaffold	12009		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000645.1	Chromosome			unplaced-scaffold	11999		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000646.1	Chromosome			unplaced-scaffold	11900		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000647.1	Chromosome			unplaced-scaffold	11885		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000648.1	Chromosome			unplaced-scaffold	11868		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000649.1	Chromosome			unplaced-scaffold	11794		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000650.1	Chromosome			unplaced-scaffold	11771		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000651.1	Chromosome			unplaced-scaffold	11763		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000652.1	Chromosome			unplaced-scaffold	11756		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000653.1	Chromosome			unplaced-scaffold	11738		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000654.1	Chromosome			unplaced-scaffold	11695		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000655.1	Chromosome			unplaced-scaffold	11665		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000656.1	Chromosome			unplaced-scaffold	11660		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000657.1	Chromosome			unplaced-scaffold	11646		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000658.1	Chromosome			unplaced-scaffold	11614		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000659.1	Chromosome			unplaced-scaffold	11598		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000660.1	Chromosome			unplaced-scaffold	11596		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000661.1	Chromosome			unplaced-scaffold	11578		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000662.1	Chromosome			unplaced-scaffold	11537		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000663.1	Chromosome			unplaced-scaffold	11528		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000664.1	Chromosome			unplaced-scaffold	11491		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000665.1	Chromosome			unplaced-scaffold	11445		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000666.1	Chromosome			unplaced-scaffold	11435		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000667.1	Chromosome			unplaced-scaffold	11422		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000668.1	Chromosome			unplaced-scaffold	11398		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000669.1	Chromosome			unplaced-scaffold	11327		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000670.1	Chromosome			unplaced-scaffold	11326		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000671.1	Chromosome			unplaced-scaffold	11299		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000672.1	Chromosome			unplaced-scaffold	11290		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000673.1	Chromosome			unplaced-scaffold	11289		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000674.1	Chromosome			unplaced-scaffold	11234		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000675.1	Chromosome			unplaced-scaffold	11234		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000676.1	Chromosome			unplaced-scaffold	11186		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000677.1	Chromosome			unplaced-scaffold	11162		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000678.1	Chromosome			unplaced-scaffold	11146		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000679.1	Chromosome			unplaced-scaffold	11110		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000680.1	Chromosome			unplaced-scaffold	11100		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000681.1	Chromosome			unplaced-scaffold	11085		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000682.1	Chromosome			unplaced-scaffold	11077		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000683.1	Chromosome			unplaced-scaffold	10997		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000684.1	Chromosome			unplaced-scaffold	10960		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000685.1	Chromosome			unplaced-scaffold	10904		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000686.1	Chromosome			unplaced-scaffold	10902		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000687.1	Chromosome			unplaced-scaffold	10900		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000688.1	Chromosome			unplaced-scaffold	10884		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000689.1	Chromosome			unplaced-scaffold	10868		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000690.1	Chromosome			unplaced-scaffold	10856		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000691.1	Chromosome			unplaced-scaffold	10810		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000692.1	Chromosome			unplaced-scaffold	10760		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000693.1	Chromosome			unplaced-scaffold	10753		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000694.1	Chromosome			unplaced-scaffold	10722		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000695.1	Chromosome			unplaced-scaffold	10720		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000696.1	Chromosome			unplaced-scaffold	10701		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000697.1	Chromosome			unplaced-scaffold	10688		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000698.1	Chromosome			unplaced-scaffold	10670		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000699.1	Chromosome			unplaced-scaffold	10665		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000700.1	Chromosome			unplaced-scaffold	10665		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000701.1	Chromosome			unplaced-scaffold	10626		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000702.1	Chromosome			unplaced-scaffold	10625		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000703.1	Chromosome			unplaced-scaffold	10599		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000704.1	Chromosome			unplaced-scaffold	10571		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000705.1	Chromosome			unplaced-scaffold	10539		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000706.1	Chromosome			unplaced-scaffold	10538		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000707.1	Chromosome			unplaced-scaffold	10509		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000708.1	Chromosome			unplaced-scaffold	10485		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000709.1	Chromosome			unplaced-scaffold	10473		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000710.1	Chromosome			unplaced-scaffold	10457		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000711.1	Chromosome			unplaced-scaffold	10451		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000712.1	Chromosome			unplaced-scaffold	10422		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000713.1	Chromosome			unplaced-scaffold	10413		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000714.1	Chromosome			unplaced-scaffold	10398		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000715.1	Chromosome			unplaced-scaffold	10383		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000716.1	Chromosome			unplaced-scaffold	10381		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000717.1	Chromosome			unplaced-scaffold	10378		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000718.1	Chromosome			unplaced-scaffold	10358		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000719.1	Chromosome			unplaced-scaffold	10355		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000720.1	Chromosome			unplaced-scaffold	10352		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000721.1	Chromosome			unplaced-scaffold	10343		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000722.1	Chromosome			unplaced-scaffold	10316		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000723.1	Chromosome			unplaced-scaffold	10309		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000724.1	Chromosome			unplaced-scaffold	10300		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000725.1	Chromosome			unplaced-scaffold	10299		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000726.1	Chromosome			unplaced-scaffold	10297		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000727.1	Chromosome			unplaced-scaffold	10284		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000728.1	Chromosome			unplaced-scaffold	10249		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000729.1	Chromosome			unplaced-scaffold	10238		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000730.1	Chromosome			unplaced-scaffold	10221		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000731.1	Chromosome			unplaced-scaffold	10195		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000732.1	Chromosome			unplaced-scaffold	10188		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000733.1	Chromosome			unplaced-scaffold	10174		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000734.1	Chromosome			unplaced-scaffold	10172		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000735.1	Chromosome			unplaced-scaffold	10133		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000736.1	Chromosome			unplaced-scaffold	10125		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000737.1	Chromosome			unplaced-scaffold	10107		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000738.1	Chromosome			unplaced-scaffold	10100		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000739.1	Chromosome			unplaced-scaffold	10059		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000740.1	Chromosome			unplaced-scaffold	10027		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000741.1	Chromosome			unplaced-scaffold	10021		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000742.1	Chromosome			unplaced-scaffold	10005		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000743.1	Chromosome			unplaced-scaffold	9982		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000744.1	Chromosome			unplaced-scaffold	9966		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000745.1	Chromosome			unplaced-scaffold	9946		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000746.1	Chromosome			unplaced-scaffold	9930		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000747.1	Chromosome			unplaced-scaffold	9917		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000748.1	Chromosome			unplaced-scaffold	9917		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000749.1	Chromosome			unplaced-scaffold	9907		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000750.1	Chromosome			unplaced-scaffold	9878		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000751.1	Chromosome			unplaced-scaffold	9861		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000752.1	Chromosome			unplaced-scaffold	9839		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000753.1	Chromosome			unplaced-scaffold	9815		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000754.1	Chromosome			unplaced-scaffold	9813		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000755.1	Chromosome			unplaced-scaffold	9807		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000756.1	Chromosome			unplaced-scaffold	9806		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000757.1	Chromosome			unplaced-scaffold	9803		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000758.1	Chromosome			unplaced-scaffold	9799		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000759.1	Chromosome			unplaced-scaffold	9799		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000760.1	Chromosome			unplaced-scaffold	9796		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000761.1	Chromosome			unplaced-scaffold	9784		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000762.1	Chromosome			unplaced-scaffold	9781		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000763.1	Chromosome			unplaced-scaffold	9771		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000764.1	Chromosome			unplaced-scaffold	9767		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000765.1	Chromosome			unplaced-scaffold	9761		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000766.1	Chromosome			unplaced-scaffold	9721		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000767.1	Chromosome			unplaced-scaffold	9709		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000768.1	Chromosome			unplaced-scaffold	9702		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000769.1	Chromosome			unplaced-scaffold	9680		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000770.1	Chromosome			unplaced-scaffold	9615		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000771.1	Chromosome			unplaced-scaffold	9589		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000772.1	Chromosome			unplaced-scaffold	9582		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000773.1	Chromosome			unplaced-scaffold	9570		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000774.1	Chromosome			unplaced-scaffold	9562		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000775.1	Chromosome			unplaced-scaffold	9524		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000776.1	Chromosome			unplaced-scaffold	9472		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000777.1	Chromosome			unplaced-scaffold	9457		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000778.1	Chromosome			unplaced-scaffold	9440		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000779.1	Chromosome			unplaced-scaffold	9422		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000780.1	Chromosome			unplaced-scaffold	9411		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000781.1	Chromosome			unplaced-scaffold	9399		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000782.1	Chromosome			unplaced-scaffold	9391		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000783.1	Chromosome			unplaced-scaffold	9391		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000784.1	Chromosome			unplaced-scaffold	9367		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000785.1	Chromosome			unplaced-scaffold	9367		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000786.1	Chromosome			unplaced-scaffold	9366		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000787.1	Chromosome			unplaced-scaffold	9349		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000788.1	Chromosome			unplaced-scaffold	9310		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000789.1	Chromosome			unplaced-scaffold	9277		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000790.1	Chromosome			unplaced-scaffold	9262		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000791.1	Chromosome			unplaced-scaffold	9259		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000792.1	Chromosome			unplaced-scaffold	9251		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000793.1	Chromosome			unplaced-scaffold	9245		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000794.1	Chromosome			unplaced-scaffold	9216		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000795.1	Chromosome			unplaced-scaffold	9212		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000796.1	Chromosome			unplaced-scaffold	9203		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000797.1	Chromosome			unplaced-scaffold	9200		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000798.1	Chromosome			unplaced-scaffold	9179		
